,brand_name,shirt_name,price,percentageoff,flipkart_assured,deal
230,Wayup,Men Solid Round Neck Cotton Blend Black T-Shirt,₹247,75% off,,Hot Deal
231,Veirdo,"Oversized Men Printed, Typography Round Neck Pure Cotto...",₹429,64% off,,Hot Deal
232,MAA UMA,Men Regular Fit Self Design Spread Collar Casual Shirt,₹385,70% off,,Hot Deal
233,HADAR,Men Self Design Round Neck Cotton Blend Black T-Shirt,₹202,89% off,,Only few left
234,Smosh,Men Printed Round Neck Cotton Blend Black T-Shirt,₹225,88% off,,Hot Deal
235,Lauren Adams,"Men Striped Round Neck Cotton Blend White, Navy Blue T-...",₹363,75% off,,Hot Deal
236,JACKBELLA,Men Regular Fit Self Design Spread Collar Casual Shirt,₹280,81% off,,Hot Deal
237,Garmin,Men Graphic Print Round Neck Pure Cotton Black T-Shirt,₹260,79% off,,Only few left
238,Garmin,Men Graphic Print Round Neck Pure Cotton Black T-Shirt,₹240,81% off,,Hot Deal
239,Leotude,Men Printed Round Neck Cotton Blend Blue T-Shirt,₹299,72% off,,Only few left
240,Jump Cuts,"Men Colorblock Round Neck Cotton Blend Black, White T-S...",₹221,87% off,,Hot Deal
241,TripBroz,Men Printed Round Neck Cotton Blend Blue T-Shirt,₹219,85% off,,Hot Deal
242,NORSEMEN,Men Solid Round Neck Cotton Blend Black T-Shirt,₹203,84% off,,Hot Deal
243,BATMAN X ROYAL STANCE,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,₹244,79% off,,Hot Deal
244,ENITOR,"Men Colorblock Zip Neck Polyester Blue, Maroon T-Shirt",₹252,83% off,,
245,SHOOLIN,Men Regular Fit Self Design Spread Collar Casual Shirt,₹316,84% off,,Hot Deal
246,Crazybee - CB,Men Graphic Print Round Neck Cotton Blend Beige T-Shirt,₹220,77% off,,
247,WOXEN,Men Regular Fit Checkered Spread Collar Casual Shirt,₹352,85% off,,Hot Deal
248,Cool Plus,Men Printed Round Neck Cotton Blend Blue T-Shirt,₹327,67% off,,Hot Deal
249,Bullmer,Men Striped Polo Neck Cotton Blend Beige T-Shirt,₹536,73% off,,Hot Deal
250,UrGear,Men Printed Round Neck Cotton Blend Beige T-Shirt,₹217,83% off,,
251,Crazybee - CB,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,₹190,80% off,,Hot Deal
252,AUSK,Men Printed Round Neck Cotton Blend Maroon T-Shirt,₹258,82% off,,
253,BUKKL,"Men Printed, Typography Round Neck Cotton Blend White T...",₹288,85% off,,
254,Reya,Men Printed Round Neck Polyester Maroon T-Shirt,₹178,88% off,,Hot Deal
255,BUKKL,Men Printed Round Neck Pure Cotton Red T-Shirt,₹338,83% off,,Hot Deal
256,VRMA,"Men Printed, Typography Round Neck Cotton Blend Pink T-...",₹115,88% off,,Hot Deal
257,Veirdo,"SPIDER MAN Men Printed, Typography Round Neck Pure Cott...",₹499,66% off,,"Buy 2 items, save extra 5%"
258,FASHIONORIYA,Men Printed Round Neck Cotton Blend Black T-Shirt,₹235,60% off,,
259,Veirdo,Plus Size Oversized Men Printed Round Neck Pure Cotton ...,₹499,58% off,,Hot Deal
260,dos hermanos,Men Printed Round Neck Cotton Blend Grey T-Shirt,₹238,76% off,,
261,Cool Plus,Men Printed Round Neck Cotton Blend Orange T-Shirt,₹369,63% off,,Hot Deal
262,METRONAUT,Men Regular Fit Solid Spread Collar Casual Shirt,₹358,82% off,,"Buy 2 items, save extra 5%"
263,Jai Textiles,Men Slim Fit Checkered Spread Collar Casual Shirt,₹263,86% off,,Hot Deal
264,Think Tech,Men Printed Round Neck Cotton Blend White T-Shirt,₹143,71% off,,Hot Deal
265,Glitchez,Men Embroidered Polo Neck Cotton Blend Black T-Shirt,₹416,70% off,,
266,Detour,Men Graphic Print Round Neck Cotton Blend Maroon T-Shir...,₹206,79% off,,
267,Wayup,Men Solid Round Neck Cotton Blend Black T-Shirt,₹247,75% off,,Hot Deal
268,Pronk,"Men Printed, Typography Round Neck Pure Cotton Black T-...",₹472,68% off,,"Buy 2 items, save extra 5%"
269,Zoitgiest,Men Regular Fit Printed Spread Collar Casual Shirt,₹249,80% off,,Hot Deal
270,HEATHEX,Men Printed Round Neck Pure Cotton Purple T-Shirt,₹366,70% off,,
